x,y
77,79.77515201
21,23.17727887
22,25.60926156
20,17.85738813
36,41.84986439
15,9.805234876
62,58.87465933
95,97.61793701
20,18.39512747
5,8.746747654
4,2.811415826
19,17.09537241
96,95.14907176
62,61.38800663
36,40.24701716
15,14.82248589
65,66.95806869
14,16.63507984
87,90.65513736
69,77.22982636
89,92.11906278
51,46.91387709
89,89.82634442
27,21.71380347
97,97.41206981
58,57.01631363
79,78.31056542
21,19.1315097
93,93.03483388
27,26.59112396
99,97.55155344
31,31.43524822
33,35.12724777
80,78.61042432
28,33.07112825
47,51.69967172
53,53.62235225
69,69.46306072
28,27.42497237
33,36.34644189
91,95.06140858
71,68.16724757
50,50.96155532
76,78.04237454
4,5.607664865
37,36.11334779
70,67.2352155
68,65.01324035
40,38.14753871
35,34.31141446
94,95.28503937
88,87.84749912
52,54.08170635
31,31.93063515
59,59.61247085
0,-1.040114209
39,47.49374765
64,62.60089773
69,70.9146434
57,56.14834113
13,14.05572877
72,68.11367147
76,75.59701346
61,59.225745
82,85.45504157
18,17.76197116
41,38.68888682
50,50.96343637
55,51.83503872
13,17.0761107
46,46.56141773
13,10.34754461
79,77.91032969
53,50.17008622
15,13.25690647
28,31.32274932
81,73.9308764
69,74.45114379
52,52.01932286
84,83.68820499
68,70.3698748
27,23.44479161
56,49.83051801
48,49.88226593
40,41.04525583
39,33.37834391
82,81.29750133
100,105.5918375
59,56.82457013
43,48.67252645
67,67.02150613
38,38.43076389
63,58.61466887
91,89.12377509
60,60.9105427
14,13.83959878
21,16.89085185
87,84.06676818
73,70.34969772
32,33.38474138
