Date,SPX,GLD,USO,SLV,EUR/USD
3/5/2008,1333.699951,97.720001,83.300003,20.621,1.527697
3/6/2008,1304.339966,96.5,83.889999,20.075001,1.538509
3/7/2008,1293.369995,96.089996,83.730003,20.040001,1.533601
3/10/2008,1273.369995,95.870003,85.629997,19.475,1.534095
3/11/2008,1320.650024,95.989998,86.339996,19.52,1.534189
3/12/2008,1308.77002,97.010002,86.919998,19.969999,1.554002
3/13/2008,1315.47998,98.339996,87.209999,20.406,1.562207
3/14/2008,1288.140015,98.709999,86.510002,20.421,1.561792
3/17/2008,1276.599976,99.169998,83.300003,19.98,1.574803
3/18/2008,1330.73999,96.5,85.800003,19.379,1.565803
3/19/2008,1298.420044,93.040001,82.290001,18.250999,1.563893
3/20/2008,1329.51001,89.910004,81.300003,16.701,1.544211
3/24/2008,1349.880005,90.099998,80.260002,16.787001,1.543496
3/25/2008,1352.98999,92.730003,81.470001,17.775,1.561207
3/26/2008,1341.130005,93.800003,84.809998,18.225,1.582404
3/27/2008,1325.76001,93.459999,85.730003,18.32,1.581403
3/28/2008,1315.219971,91.879997,84.370003,17.75,1.576094
4/1/2008,1370.180054,86.860001,81.059998,16.6,1.567791
4/2/2008,1367.530029,89.269997,83.779999,17.246,1.566711
4/3/2008,1369.310059,89.419998,83.650002,17.23,1.573688
4/7/2008,1372.540039,91.169998,86.93,17.950001,1.557802
4/8/2008,1365.540039,90.349998,87.190002,17.507,1.582404
4/9/2008,1354.48999,92.290001,88.900002,18.014999,1.574208
4/10/2008,1360.550049,91.769997,88.18,17.812,1.582203
4/14/2008,1328.319946,91.110001,89.639999,17.514999,1.578607
4/15/2008,1334.430054,91.660004,91.440002,17.681999,1.595813
4/16/2008,1364.709961,93.269997,92.150002,18.153999,1.590204
4/17/2008,1365.560059,92.559998,92.370003,18.01,1.573391
4/21/2008,1388.170044,90.25,94.379997,17.267,1.598798
4/22/2008,1375.939941,90.269997,95.080002,17.476999,1.587402
4/23/2008,1379.930054,89.220001,95.18,17.000999,1.568406
4/24/2008,1388.819946,87.220001,93.199997,16.552,1.563697
4/28/2008,1396.369995,87.690002,95.690002,16.84,1.556711
4/29/2008,1390.939941,85.809998,92.989998,16.382,1.562207
5/1/2008,1409.339966,83.989998,90.379997,15.994,1.5434
5/5/2008,1407.48999,86.269997,96.739998,16.573999,1.553591
5/6/2008,1418.26001,86.629997,98.379997,16.73,1.538509
5/7/2008,1392.569946,85.82,99.800003,16.503,1.546408
5/8/2008,1397.680054,87.239998,100.660004,16.700001,1.548995
5/12/2008,1403.579956,86.989998,100.110001,16.997,1.5477
5/13/2008,1403.040039,85.389999,101.709999,16.554001,1.54691
5/14/2008,1408.660034,85.199997,100.220001,16.365999,1.545094
5/15/2008,1423.569946,87.0,100.209999,16.555,1.5596
5/19/2008,1426.630005,89.389999,102.800003,16.819,1.565411
5/20/2008,1413.400024,90.900002,104.300003,17.5,1.578806
5/21/2008,1390.709961,91.959999,108.309998,17.860001,1.573193
5/22/2008,1394.349976,90.980003,105.629997,17.780001,1.578507
5/27/2008,1385.349976,89.360001,104.260002,17.256001,1.565607
5/28/2008,1390.839966,89.139999,105.919998,17.264999,1.551807
5/29/2008,1398.26001,86.510002,102.260002,16.478001,1.554098
6/2/2008,1385.670044,87.959999,103.050003,16.642,1.545022
6/3/2008,1377.650024,86.879997,100.650002,16.587,1.543258
6/4/2008,1377.199951,86.650002,98.980003,16.641001,1.558895
6/5/2008,1404.050049,86.449997,103.949997,16.972,1.578507
6/9/2008,1361.76001,87.989998,109.050003,16.944,1.546408
6/10/2008,1358.439941,85.550003,107.019997,16.440001,1.555791
6/11/2008,1335.48999,87.019997,110.989998,16.700001,1.546097
