Unnamed: 0,path,crop,croplabel
0,/kaggle/input/kag2/sugarcane/sugarcane037ahs.jpeg,sugarcane,3
1,/kaggle/input/kag2/sugarcane/sugarcane034a.jpeg,sugarcane,3
2,/kaggle/input/kag2/sugarcane/sugarcane032arot.jpeg,sugarcane,3
3,/kaggle/input/kag2/sugarcane/sugarcane036ahs.jpeg,sugarcane,3
4,/kaggle/input/kag2/sugarcane/sugarcane023ahs.jpeg,sugarcane,3
5,/kaggle/input/kag2/sugarcane/sugarcane026a.jpeg,sugarcane,3
6,/kaggle/input/kag2/sugarcane/sugarcane0003ahs.jpeg,sugarcane,3
7,/kaggle/input/kag2/sugarcane/sugarcane017arot.jpeg,sugarcane,3
8,/kaggle/input/kag2/sugarcane/sugarcane005ahf.jpeg,sugarcane,3
9,/kaggle/input/kag2/sugarcane/sugarcane027arot.jpeg,sugarcane,3
10,/kaggle/input/kag2/sugarcane/sugarcane013ahs.jpeg,sugarcane,3
11,/kaggle/input/kag2/sugarcane/sugarcane014a.jpeg,sugarcane,3
12,/kaggle/input/kag2/sugarcane/sugarcane016ahf.jpeg,sugarcane,3
13,/kaggle/input/kag2/sugarcane/sugarcane028a.jpeg,sugarcane,3
14,/kaggle/input/kag2/sugarcane/sugarcane027ahf.jpeg,sugarcane,3
15,/kaggle/input/kag2/sugarcane/sugarcane016arot.jpeg,sugarcane,3
16,/kaggle/input/kag2/sugarcane/sugarcane019ahs.jpeg,sugarcane,3
17,/kaggle/input/kag2/sugarcane/sugarcane0004arot.jpeg,sugarcane,3
18,/kaggle/input/kag2/sugarcane/sugarcane009arot.jpeg,sugarcane,3
19,/kaggle/input/kag2/sugarcane/sugarcane034ahs.jpeg,sugarcane,3
20,/kaggle/input/kag2/sugarcane/sugarcane027a.jpeg,sugarcane,3
21,/kaggle/input/kag2/sugarcane/sugarcane025arot.jpeg,sugarcane,3
22,/kaggle/input/kag2/sugarcane/sugarcane030ahf.jpeg,sugarcane,3
23,/kaggle/input/kag2/sugarcane/sugarcane009a.jpeg,sugarcane,3
24,/kaggle/input/kag2/sugarcane/sugarcane031a.jpeg,sugarcane,3
25,/kaggle/input/kag2/sugarcane/sugarcane0002arot.jpeg,sugarcane,3
26,/kaggle/input/kag2/sugarcane/sugarcane028ahs.jpeg,sugarcane,3
27,/kaggle/input/kag2/sugarcane/sugarcane020ahs.jpeg,sugarcane,3
28,/kaggle/input/kag2/sugarcane/sugarcane021arot.jpeg,sugarcane,3
29,/kaggle/input/kag2/sugarcane/sugarcane0003ahf.jpeg,sugarcane,3
30,/kaggle/input/kag2/sugarcane/sugarcane008ahs.jpeg,sugarcane,3
31,/kaggle/input/kag2/sugarcane/sugarcane016a.jpeg,sugarcane,3
32,/kaggle/input/kag2/sugarcane/sugarcane025ahs.jpeg,sugarcane,3
33,/kaggle/input/kag2/sugarcane/sugarcane031ahs.jpeg,sugarcane,3
34,/kaggle/input/kag2/sugarcane/sugarcane017ahs.jpeg,sugarcane,3
35,/kaggle/input/kag2/sugarcane/sugarcane039ahs.jpeg,sugarcane,3
36,/kaggle/input/kag2/sugarcane/sugarcane036ahf.jpeg,sugarcane,3
37,/kaggle/input/kag2/sugarcane/sugarcane0011a.jpeg,sugarcane,3
38,/kaggle/input/kag2/sugarcane/sugarcane018ahf.jpeg,sugarcane,3
39,/kaggle/input/kag2/sugarcane/sugarcane0010arot.jpeg,sugarcane,3
40,/kaggle/input/kag2/sugarcane/sugarcane033ahf.jpeg,sugarcane,3
41,/kaggle/input/kag2/sugarcane/sugarcane030arot.jpeg,sugarcane,3
42,/kaggle/input/kag2/sugarcane/sugarcane022ahs.jpeg,sugarcane,3
43,/kaggle/input/kag2/sugarcane/sugarcane006ahf.jpeg,sugarcane,3
44,/kaggle/input/kag2/sugarcane/sugarcane007ahf.jpeg,sugarcane,3
45,/kaggle/input/kag2/sugarcane/sugarcane030a.jpeg,sugarcane,3
46,/kaggle/input/kag2/sugarcane/sugarcane0002ahs.jpeg,sugarcane,3
47,/kaggle/input/kag2/sugarcane/sugarcane027ahs.jpeg,sugarcane,3
48,/kaggle/input/kag2/sugarcane/sugarcane040a.jpeg,sugarcane,3
49,/kaggle/input/kag2/sugarcane/sugarcane032a.jpeg,sugarcane,3
50,/kaggle/input/kag2/sugarcane/sugarcane017ahf.jpeg,sugarcane,3
51,/kaggle/input/kag2/sugarcane/sugarcane035arot.jpeg,sugarcane,3
52,/kaggle/input/kag2/sugarcane/sugarcane007ahs.jpeg,sugarcane,3
53,/kaggle/input/kag2/sugarcane/sugarcane035ahf.jpeg,sugarcane,3
54,/kaggle/input/kag2/sugarcane/sugarcane039arot.jpeg,sugarcane,3
55,/kaggle/input/kag2/sugarcane/sugarcane037a.jpeg,sugarcane,3
56,/kaggle/input/kag2/sugarcane/sugarcane012ahf.jpeg,sugarcane,3
57,/kaggle/input/kag2/sugarcane/sugarcane031arot.jpeg,sugarcane,3
58,/kaggle/input/kag2/sugarcane/sugarcane020a.jpeg,sugarcane,3
59,/kaggle/input/kag2/sugarcane/sugarcane013arot.jpeg,sugarcane,3
60,/kaggle/input/kag2/sugarcane/sugarcane024a.jpeg,sugarcane,3
61,/kaggle/input/kag2/sugarcane/sugarcane005ahs.jpeg,sugarcane,3
62,/kaggle/input/kag2/sugarcane/sugarcane0003arot.jpeg,sugarcane,3
63,/kaggle/input/kag2/sugarcane/sugarcane035a.jpeg,sugarcane,3
64,/kaggle/input/kag2/sugarcane/sugarcane0004ahf.jpeg,sugarcane,3
65,/kaggle/input/kag2/sugarcane/sugarcane013a.jpeg,sugarcane,3
66,/kaggle/input/kag2/sugarcane/sugarcane0004a.jpeg,sugarcane,3
67,/kaggle/input/kag2/sugarcane/sugarcane039ahf.jpeg,sugarcane,3
68,/kaggle/input/kag2/sugarcane/sugarcane018a.jpeg,sugarcane,3
69,/kaggle/input/kag2/sugarcane/sugarcane016ahs.jpeg,sugarcane,3
70,/kaggle/input/kag2/sugarcane/sugarcane0010ahf.jpeg,sugarcane,3
71,/kaggle/input/kag2/sugarcane/sugarcane009ahs.jpeg,sugarcane,3
72,/kaggle/input/kag2/sugarcane/sugarcane0001arot.jpeg,sugarcane,3
73,/kaggle/input/kag2/sugarcane/sugarcane025a.jpeg,sugarcane,3
74,/kaggle/input/kag2/sugarcane/sugarcane007arot.jpeg,sugarcane,3
75,/kaggle/input/kag2/sugarcane/sugarcane019arot.jpeg,sugarcane,3
76,/kaggle/input/kag2/sugarcane/sugarcane0011ahf.jpeg,sugarcane,3
77,/kaggle/input/kag2/sugarcane/sugarcane023ahf.jpeg,sugarcane,3
78,/kaggle/input/kag2/sugarcane/sugarcane026ahs.jpeg,sugarcane,3
79,/kaggle/input/kag2/sugarcane/sugarcane015ahs.jpeg,sugarcane,3
80,/kaggle/input/kag2/sugarcane/sugarcane038a.jpeg,sugarcane,3
81,/kaggle/input/kag2/sugarcane/sugarcane021ahs.jpeg,sugarcane,3
82,/kaggle/input/kag2/sugarcane/sugarcane020ahf.jpeg,sugarcane,3
